13946
289	93	4
15	93	5
80	289	0
80	1598	1
289	1598	2
289	289	3
289	1598	4
10	1598	5
26	289	0
26	49	1
289	49	2
289	289	3
289	49	4
10	49	5
61	289	0
61	4386	1
289	4386	2
289	289	3
289	4386	4
15	4386	5
75	289	0
75	4387	1
289	4387	2
289	289	3
289	4387	4
2	4387	5
26	289	0
26	912	1
289	912	2
289	289	3
289	912	4
15	912	5
61	289	0
61	4388	1
289	4388	2
289	289	3
289	4388	4
10	4388	5
71	289	0
71	4389	1
289	4389	2
289	289	3
289	4389	4
10	4389	5
50	289	0
50	66	1
289	66	2
289	289	3
289	66	4
10	66	5
11	289	0
11	4390	1
289	4390	2
289	289	3
289	4390	4
15	4390	5
50	289	0
50	4391	1
289	4391	2
289	289	3
289	4391	4
10	4391	5
50	289	0
50	4386	1
289	4386	2
289	289	3
289	4386	4
15	4386	5
16	289	0
16	3456	1
289	3456	2
289	289	3
289	3456	4
10	3456	5
71	289	0
71	52	1
289	52	2
289	289	3
289	52	4
10	52	5
43	289	0
43	4392	1
289	4392	2
289	289	3
289	4392	4
10	4392	5
71	289	0
71	52	1
289	52	2
289	289	3
289	52	4
10	52	5
35	289	0
35	4393	1
289	4393	2
289	289	3
289	4393	4
10	4393	5
71	289	0
71	4013	1
289	4013	2
289	289	3
289	4013	4
10	4013	5
35	289	0
35	292	1
289	292	2
289	289	3
289	292	4
10	292	5
80	289	0
80	4394	1
289	4394	2
289	289	3
289	4394	4
10	4394	5
80	289	0
80	60	1
289	60	2
289	289	3
289	60	4
10	60	5
71	289	0
71	2394	1
289	2394	2
289	289	3
289	2394	4
15	2394	5
80	289	0
80	351	1
289	351	2
20	289	3
20	351	4
2	351	5
3	289	0
3	4395	1
289	4395	2
289	289	3
289	4395	4
10	4395	5
3	289	0
3	28	1
289	28	2
289	289	3
289	28	4
10	28	5
37	289	0
37	1486	1
289	1486	2
289	289	3
289	1486	4
15	1486	5
3	289	0
3	4394	1
289	4394	2
289	289	3
289	4394	4
10	4394	5
3	289	0
3	801	1
289	801	2
289	289	3
289	801	4
10	801	5
37	289	0
37	1696	1
289	1696	2
289	289	3
289	1696	4
15	1696	5
80	289	0
80	1896	1
289	1896	2
289	289	3
289	1896	4
10	1896	5
80	289	0
80	4396	1
289	4396	2
289	289	3
289	4396	4
2	4396	5
80	289	0
80	60	1
289	60	2
289	289	3
289	60	4
10	60	5
80	289	0
80	4397	1
289	4397	2
289	289	3
289	4397	4
15	4397	5
80	289	0
80	4398	1
289	4398	2
289	289	3
289	4398	4
15	4398	5
80	289	0
80	1904	1
289	1904	2
289	289	3
289	1904	4
15	1904	5
79	289	0
79	60	1
289	60	2
289	289	3
289	60	4
10	60	5
79	289	0
79	4399	1
289	4399	2
289	289	3
289	4399	4
10	4399	5
37	289	0
37	87	1
289	87	2
289	289	3
289	87	4
15	87	5
80	289	0
80	4400	1
289	4400	2
289	289	3
289	4400	4
10	4400	5
80	289	0
80	4400	1
289	4400	2
289	289	3
289	4400	4
10	4400	5
86	289	0
86	605	1
289	605	2
289	289	3
289	605	4
15	605	5
71	289	0
71	3660	1
289	3660	2
289	289	3
289	3660	4
15	3660	5
71	289	0
71	4401	1
289	4401	2
289	289	3
289	4401	4
15	4401	5
71	289	0
71	66	1
289	66	2
289	289	3
289	66	4
10	66	5
80	289	0
80	60	1
289	60	2
289	289	3
289	60	4
10	60	5
35	289	0
35	1896	1
289	1896	2
289	289	3
289	1896	4
10	1896	5
37	289	0
37	4402	1
289	4402	2
289	289	3
289	4402	4
15	4402	5
53	289	0
53	313	1
289	313	2
289	289	3
289	313	4
10	313	5
37	289	0
37	62	1
289	62	2
289	289	3
289	62	4
2	62	5
3	289	0
3	83	1
289	83	2
289	289	3
289	83	4
15	83	5
3	289	0
3	4403	1
289	4403	2
289	289	3
289	4403	4
10	4403	5
32	4404	0
32	60	1
4404	60	2
289	4404	3
289	60	4
10	60	5
3	4405	0
3	4406	1
4405	4406	2
289	4405	3
289	4406	4
10	4406	5
40	4407	0
40	87	1
4407	87	2
289	4407	3
289	87	4
15	87	5
40	4408	0
40	4403	1
4408	4403	2
289	4408	3
289	4403	4
10	4403	5
32	4409	0
32	4410	1
4409	4410	2
38	4409	3
38	4410	4
10	4410	5
48	4411	0
48	57	1
4411	57	2
20	4411	3
20	57	4
10	57	5
48	4412	0
48	4413	1
4412	4413	2
20	4412	3
20	4413	4
10	4413	5
11	11	0
11	4186	1
11	4186	2
20	11	3
20	4186	4
10	4186	5
11	11	0
11	4414	1
11	4414	2
20	11	3
20	4414	4
10	4414	5
11	11	0
11	250	1
11	250	2
20	11	3
20	250	4
10	250	5
11	11	0
11	52	1
11	52	2
20	11	3
20	52	4
10	52	5
11	11	0
11	839	1
11	839	2
38	11	3
38	839	4
10	839	5
11	11	0
11	241	1
11	241	2
12	11	3
12	241	4
10	241	5
11	11	0
11	879	1
11	879	2
20	11	3
20	879	4
10	879	5
11	11	0
11	4415	1
11	4415	2
20	11	3
20	4415	4
15	4415	5
11	11	0
11	4186	1
11	4186	2
20	11	3
20	4186	4
10	4186	5
11	11	0
11	4416	1
11	4416	2
38	11	3
38	4416	4
10	4416	5
11	11	0
11	3980	1
11	3980	2
38	11	3
38	3980	4
15	3980	5
11	11	0
11	28	1
11	28	2
38	11	3
38	28	4
10	28	5
11	11	0
11	4417	1
11	4417	2
38	11	3
38	4417	4
15	4417	5
11	11	0
11	4418	1
11	4418	2
20	11	3
20	4418	4
10	4418	5
11	11	0
11	4419	1
11	4419	2
20	11	3
20	4419	4
15	4419	5
11	11	0
11	57	1
11	57	2
20	11	3
20	57	4
10	57	5
11	11	0
11	4420	1
11	4420	2
20	11	3
20	4420	4
10	4420	5
11	11	0
11	1580	1
11	1580	2
20	11	3
20	1580	4
10	1580	5
11	11	0
11	879	1
11	879	2
38	11	3
38	879	4
10	879	5
11	11	0
11	52	1
11	52	2
38	11	3
38	52	4
10	52	5
11	11	0
11	104	1
11	104	2
38	11	3
38	104	4
15	104	5
11	11	0
11	4421	1
11	4421	2
38	11	3
38	4421	4
15	4421	5
11	11	0
11	93	1
11	93	2
20	11	3
20	93	4
15	93	5
11	11	0
11	4422	1
11	4422	2
20	11	3
20	4422	4
2	4422	5
11	11	0
11	1951	1
11	1951	2
38	11	3
38	1951	4
15	1951	5
11	11	0
11	4423	1
11	4423	2
38	11	3
38	4423	4
10	4423	5
11	11	0
11	4424	1
11	4424	2
20	11	3
20	4424	4
10	4424	5
11	11	0
11	4425	1
11	4425	2
38	11	3
38	4425	4
15	4425	5
11	4426	0
11	4427	1
4426	4427	2
20	4426	3
20	4427	4
15	4427	5
11	4428	0
11	157	1
4428	157	2
20	4428	3
20	157	4
15	157	5
11	4428	0
11	4429	1
4428	4429	2
38	4428	3
38	4429	4
15	4429	5
11	4428	0
11	2589	1
4428	2589	2
38	4428	3
38	2589	4
